ime,drzava,rang,t_alltime,sezone,t_enodnevne,t_GC,t_kronometer,t_sprint,t_gore,t_hribi,zmage,etapne,GC,enodnevne,kronometer,grand tour zac.,grand tour zmage,spomeniki zac.,spomeniki zmage
Remco  Evenepoel,Belgium,54,813.9,6,2754,3989,3645,120,3702,1218,58,30,12,16,16,5,1,5,2
Joaquim  Rodríguez,Spain,55,813.6,17,5300,7570,1262,1545,9165,2734,48,34,6,8,1,24,0,29,2
Stephen  Roche,Ireland,56,812.0,14,3392,8513,7857,3414,2322,1056,49,26,18,5,16,15,2,24,0
Jan  Janssen,Netherlands,57,809.2,14,5986,4557,2734,7394,3246,2313,47,32,7,8,3,10,2,29,1
Frans  Verbeeck,Belgium,58,806.8,14,13321,2351,796,10427,1440,774,66,27,3,36,2,4,0,40,0
Gianbattista  Baronchelli,Italy,59,800.1,17,8494,5616,3260,5912,1832,218,56,19,9,28,3,16,0,23,2
Rik Van Steenbergen,Belgium,60,796.6,19,6960,1231,634,6808,256,243,62,34,2,26,1,9,0,26,5
Greg Van Avermaet,Belgium,61,785.3,18,11649,3795,577,4940,3403,6010,42,22,6,14,0,12,0,56,1
Marino  Lejarreta,Spain,62,784.9,14,4105,8839,4979,4691,2454,599,53,25,16,12,10,27,1,16,0
Arnaud  Démare,France,63,775.4,15,6485,1523,475,7878,206,2534,95,62,8,25,1,12,0,26,1
Learco  Guerra,Italy,64,767.3,10,4023,1860,602,7210,364,160,63,39,1,23,2,11,1,9,2
Eric  Vanderaerden,Belgium,65,766.1,16,6599,1791,5165,10333,230,1140,94,71,7,16,17,18,0,32,2
Gerrie  Knetemann,Netherlands,66,764.4,17,3662,4595,10328,3596,734,1520,68,45,13,10,25,16,0,16,0
Charly  Mottet,France,67,763.3,13,4273,6128,4230,4284,2125,548,57,32,10,15,11,13,0,21,1
Moreno  Argentin,Italy,68,758.4,16,7263,1731,1226,5284,1246,319,67,42,4,21,1,13,0,25,6
Rudi  Altig,Germany,69,753.4,11,3860,2479,3548,6409,799,566,66,42,4,20,8,12,1,18,2
Nairo  Quintana,Colombia,70,748.7,16,765,9371,1274,90,7824,1930,51,30,20,1,2,18,2,6,0
Claudio  Chiappucci,Italy,71,742.1,15,7487,6220,3803,4978,3126,1180,32,14,4,14,3,22,0,32,1
Wout van Aert,Belgium,72,735.2,11,7179,1171,2824,2114,1880,3921,46,25,3,18,9,6,0,16,1
Michele  Bartoli,Italy,73,735.0,13,10657,1635,807,4786,1768,698,51,17,5,29,0,9,0,42,5
Nicolas  Frantz,Luxembourg,74,728.4,13,3226,3503,16,6755,1524,170,58,29,4,25,0,7,2,7,0
Phil  Anderson,Australia,75,727.2,16,6374,5734,4795,7282,2076,1474,71,47,14,10,6,16,0,32,0
Hugo  Koblet,Switzerland,76,727.2,11,1598,4617,2748,5262,617,438,54,37,6,11,16,10,2,12,0
Francesco  Casagrande,Italy,77,718.2,15,9075,4555,2448,5062,3093,825,42,14,6,22,4,14,0,24,0
Elia  Viviani,Italy,78,713.6,16,5050,993,160,7656,276,2709,89,66,3,20,0,13,0,16,0
Bernard  Thévenet,France,79,713.3,14,2237,5968,5135,2900,3124,542,53,35,9,9,11,16,2,10,0
Alexandre  Vinokourov,Kazakhstan,80,712.5,16,3038,5816,5197,2596,3236,1376,53,35,12,6,8,15,1,23,2
Maurizio  Fondriest,Italy,81,709.9,14,9020,2563,2664,6318,1500,698,56,36,5,15,10,10,0,35,1
Delio  Rodríguez,Spain,82,709.2,12,348,2667,1304,8515,14,0,117,109,6,2,2,6,1,0,0
Greg  LeMond,United States,83,701.2,15,3641,6310,5928,3796,2676,1449,31,20,8,3,6,16,3,20,0
Tony  Martin,Germany,84,692.3,18,408,3738,10664,820,829,1670,67,39,10,18,50,21,0,10,0
Gianni  Motta,Italy,85,689.5,12,5775,3619,1812,5386,1352,150,51,24,9,18,5,11,1,21,1
Cadel  Evans,Australia,86,686.8,17,2445,9191,4913,1336,6175,3052,34,22,10,2,4,18,1,16,0
André  Darrigade,France,87,685.6,16,4910,1387,392,8411,842,1506,60,45,0,15,2,16,0,30,1
Rolf  Sørensen,Denmark,88,681.7,17,9091,2995,2882,6321,1173,392,52,28,6,18,9,17,0,54,2
Jan  Ullrich,Germany,89,676.2,14,2875,4914,6594,2034,3516,1230,33,16,4,13,11,13,2,4,0
Pierino  Gavazzi,Italy,90,663.8,21,10595,1172,224,12309,694,486,43,17,2,24,0,19,0,21,1
Miguel María  Lasa,Spain,91,662.4,13,2699,6718,3886,10084,626,288,55,40,6,9,2,21,0,10,0
Julian  Alaphilippe,France,92,660.9,13,6327,2701,1427,790,5016,4510,44,31,3,10,3,9,0,25,1
Mathieu van der Poel,Netherlands,93,659.4,11,6800,1009,906,1584,900,2942,49,22,5,22,0,5,0,18,6
