ime,drzava,rang,t_alltime,sezone,t_enodnevne,t_GC,t_kronometer,t_sprint,t_gore,t_hribi,zmage,etapne,GC,enodnevne,kronometer,grand tour zac.,grand tour zmage,spomeniki zac.,spomeniki zmage
Pavel  Tonkov,Russia,237,367.8,16,938,5281,2201,1666,2247,290,25,17,5,3,2,20,1,8,0
Roger  Swerts,Belgium,238,367.3,16,3788,2138,3042,3742,548,382,31,14,5,12,11,16,0,21,0
Luis Alberto  Herrera,Colombia,239,366.4,12,7,3502,1656,1114,2816,334,32,24,8,0,5,15,1,0,0
Tim  Merlier,Belgium,240,364.7,12,3424,104,3,4524,4,462,46,29,0,17,0,4,0,6,0
Chris  Boardman,Great Britain,241,363.5,10,139,1542,7398,610,298,101,42,30,1,11,40,8,0,5,0
Giovanni  Visconti,Italy,242,363.6,19,5548,1979,802,3066,2818,1618,34,16,1,17,0,15,0,39,0
Jean-François  Bernard,France,243,361.3,12,1461,3286,5807,1881,1334,520,36,26,5,5,15,15,0,9,0
Peter Van Petegem,Belgium,244,359.6,18,6783,1186,904,3950,206,454,20,4,2,14,1,7,0,44,3
Roger  Lapébie,France,245,359.2,6,1056,1899,700,3478,67,0,31,20,6,5,1,5,1,3,0
Maximilian  Sciandri,Great Britain,246,358.4,17,6096,856,202,4660,854,664,32,21,2,9,0,16,0,42,0
Richard  Carapaz,Ecuador,247,357.2,11,1247,3476,539,189,4132,1464,23,14,4,5,2,12,1,4,0
José Manuel  Fuente,Spain,248,356.2,8,120,2749,1319,1957,667,12,21,18,3,0,1,12,2,1,0
Jean  Graczyk,France,249,350.0,12,2440,1253,366,4756,556,498,27,22,3,2,0,13,0,17,0
Michel  Laurent,France,250,349.7,11,1292,5142,4251,1499,1072,473,28,14,10,4,9,10,0,12,0
Egan  Bernal,Colombia,251,349.6,8,918,4331,566,118,3848,1140,21,11,8,2,2,8,2,4,0
Aldo  Bini,Italy,252,349.5,19,4235,304,230,3524,712,75,21,6,0,15,0,11,0,23,2
Federico  Echave,Spain,253,349.0,16,2405,5615,1876,3042,1803,534,37,26,6,5,1,26,0,8,0
Maurice  Dewaele,Belgium,254,348.2,10,2269,2504,0,3642,788,0,23,11,5,7,0,4,1,9,0
Fernando  Gaviria,Colombia,255,348.1,11,1835,211,85,4574,89,1817,52,48,0,4,0,10,0,9,0
Tom  Simpson,Great Britain,256,347.2,9,3688,1658,528,2761,1264,397,18,8,2,8,1,8,0,21,3
Tyler  Farrar,United States,257,347.1,14,2464,856,966,6026,124,1173,31,24,3,4,1,15,0,25,0
Matteo  Trentin,Italy,258,346.0,15,5160,912,320,3066,968,3932,31,22,1,8,0,13,0,35,0
Rigoberto  Urán,Colombia,259,345.8,19,3086,5903,1804,744,6462,2168,14,10,0,4,4,24,0,23,0
Fermín  Trueba,Spain,260,345.0,12,1835,1903,510,5520,57,0,46,29,3,14,0,5,0,0,0
Melchor  Mauri,Spain,261,344.2,15,674,4046,6669,972,1062,840,37,24,11,2,19,22,1,14,0
Dmitri  Konychev,Russia,262,344.2,21,5158,793,116,4708,1060,970,34,21,1,12,0,20,0,38,0
Urs  Freuler,Switzerland,263,342.5,12,1120,329,1740,4788,49,14,46,41,0,5,3,11,0,14,0
Raffaele Di Paco,Italy,264,341.7,12,1244,305,696,5050,272,0,30,27,0,3,2,14,0,9,0
Romain  Bardet,France,265,341.6,16,3265,6401,391,366,8139,1926,11,7,2,2,0,17,0,22,0
Georges  Speicher,France,266,340.7,9,1716,1786,597,4206,148,0,30,21,2,7,1,7,1,4,1
Fränk  Schleck,Luxembourg,267,340.3,15,3419,5144,683,1401,3844,734,19,9,3,7,0,16,0,23,0
Frans  Maassen,Netherlands,268,339.1,10,3140,1992,2728,2665,192,460,40,26,6,8,13,8,0,20,0
Fabrizio  Guidi,Italy,269,337.2,13,2330,1308,313,6376,240,710,42,29,5,8,1,13,0,22,0
Alexey  Lutsenko,Kazakhstan,270,336.4,14,2342,3124,1081,990,2622,1552,43,17,8,18,7,14,0,18,0
Jesús  Manzaneque,Spain,271,336.3,18,583,4576,5572,2690,75,30,32,19,9,4,13,19,0,3,0
Joseph  Planckaert,Belgium,272,335.4,13,4042,3590,3018,3401,1194,393,21,7,5,9,2,12,0,33,1
Fabio  Baldato,Italy,273,333.4,20,4247,789,264,6810,486,772,40,35,1,4,1,25,0,39,0
Andrew  Hampsten,United States,274,331.9,14,811,5948,2068,1784,1690,297,18,13,5,0,4,15,1,12,0
Michele  Scarponi,Italy,275,331.8,17,1579,4968,1303,872,4568,1392,21,13,7,1,1,20,1,20,0
Walter  Planckaert,Belgium,276,331.6,17,6053,609,268,6701,220,25,33,20,1,12,2,9,0,27,1
Vicente  Belda,Spain,277,331.5,12,955,5248,1852,3048,598,20,26,16,7,3,4,15,0,0,0
Marc  Demeyer,Belgium,278,331.0,11,5176,579,335,5739,209,674,33,19,0,14,0,8,0,24,1
Julio  Jiménez,Spain,279,330.6,11,740,2274,770,2232,1223,49,27,20,1,6,3,14,0,1,0
Germain  Derycke,Belgium,280,330.0,10,4880,676,197,2690,386,473,22,11,3,8,1,4,0,26,4
Jean  Dotto,France,281,329.9,14,1192,3910,684,2486,938,385,20,3,3,14,5,19,1,5,0
Roger  Pingeon,France,282,329.0,10,1198,3688,3010,1621,2020,314,14,9,2,3,1,12,2,8,0
Ward  Sels,Belgium,283,328.8,9,3684,503,84,4980,292,839,32,23,0,9,0,9,0,20,1
Beat  Zberg,Switzerland,284,328.3,18,4577,4143,2572,3908,1285,527,30,12,3,15,5,12,0,35,0
Gilbert  Desmet,Belgium,285,327.2,18,4316,1945,1690,5188,1176,721,25,10,3,12,0,9,0,33,0
Georges  Pintens,Belgium,286,325.5,10,4675,1664,1034,2670,1247,398,19,6,2,11,1,8,0,24,1
Sylvère  Maes,Belgium,287,324.0,11,1876,2145,2364,3516,350,0,13,9,2,2,4,7,2,10,1
Dino  Zandegù,Italy,288,321.5,10,2675,954,165,5612,224,245,32,23,1,8,0,11,0,8,1
Niko  Eeckhout,Belgium,289,321.2,22,5168,542,207,7232,32,0,39,13,2,24,0,1,0,14,0
José Antonio  González,Spain,290,320.5,12,504,3678,4315,2121,106,5,29,21,6,2,5,17,0,1,0
Jean  Forestier,France,291,319.8,13,2688,2203,1163,2800,575,349,24,14,3,7,3,10,0,17,2
Roberto  Visentini,Italy,292,319.5,15,1128,3463,5784,1729,174,29,19,11,5,3,10,17,1,13,0
Ferdinand  Bracke,Belgium,293,319.2,17,1893,2782,4749,1856,690,266,26,17,1,8,15,13,1,16,0
Jean  Robic,France,294,318.9,16,1687,2826,709,2369,2423,998,24,15,2,7,2,11,1,16,0
David  Millar,Great Britain,295,318.6,18,557,2695,9120,902,434,1226,30,21,4,5,19,24,0,19,0
Etienne De Wilde,Belgium,296,316.4,22,4860,937,699,7030,208,818,41,26,1,14,1,9,0,28,0
Jeroen  Blijlevens,Netherlands,297,316.4,14,1292,225,16,6100,62,660,56,50,0,6,0,15,0,4,0
Iñaki  Gastón,Spain,298,316.1,12,1856,4220,1376,2297,1594,623,32,21,4,7,4,19,0,8,0
Charles  Pélissier,France,299,313.7,15,1612,670,258,4934,78,50,21,16,0,5,0,6,0,6,0
Fabio  Jakobsen,Netherlands,300,312.7,9,1863,143,38,3835,6,654,46,35,0,11,0,6,0,1,0
Bryan  Coquard,France,301,312.2,14,2963,1192,289,5543,208,2344,52,43,2,7,1,9,0,7,0
Louis  Mottiat,Belgium,302,311.6,11,2892,853,0,2902,893,0,24,16,2,6,0,9,0,14,2
Jean  Aerts,Belgium,303,311.6,9,1811,1240,246,3848,134,100,28,21,2,5,1,6,0,6,0
Miguel Ángel  López,Colombia,304,311.4,10,381,4054,752,146,4106,854,22,16,4,2,0,12,0,3,0
Mikel  Landa,Spain,305,311.0,15,974,5981,298,117,6584,1100,16,13,3,0,0,21,0,18,0
Julián  Gorospe,Spain,306,308.8,14,678,4950,6028,1272,777,116,27,18,6,3,12,22,0,3,0
Jo de Roo,Netherlands,307,308.4,12,4235,564,176,3642,605,576,26,13,1,12,0,8,0,23,3
Christophe  Laporte,France,308,307.0,12,3963,810,851,2352,352,1658,31,19,3,9,4,11,0,26,0
Barry  Hoban,Great Britain,309,306.0,18,3023,1414,947,5244,808,1492,27,20,1,6,0,15,0,24,0
Frank  Hoste,Belgium,310,305.7,16,3150,718,626,5856,120,484,33,26,1,6,2,13,0,17,0
Ion  Izagirre,Spain,311,305.3,16,1777,5371,3014,172,4284,2224,18,10,3,5,5,17,0,25,0
Acácio da Silva,Portugal,312,305.5,15,2655,2688,1503,4090,580,384,25,19,0,6,3,20,0,18,0
René Le Grevès,France,313,304.5,9,1322,633,572,4398,43,0,27,17,0,10,0,6,0,2,0
Georges  Ronsse,Belgium,314,303.2,9,3776,440,0,2368,91,180,14,3,0,11,0,2,0,9,2
Enrico  Paolini,Italy,315,302.9,11,3661,1191,159,4982,653,576,27,16,0,11,0,14,0,13,0
Michael  Albasini,Switzerland,316,302.2,20,2986,2065,407,1674,1399,1988,30,22,4,4,0,14,0,37,0
René  Vermandel,Belgium,317,302.2,10,2888,634,0,2249,146,0,38,19,5,14,0,1,0,11,3
Antonio  Gómez,Spain,318,301.5,14,987,4177,2382,3429,437,32,32,20,5,7,4,19,0,2,0
Gianluca  Bortolami,Italy,319,300.6,17,5285,1086,1019,3884,418,497,29,13,1,15,1,16,0,43,1
Luc  Leblanc,France,320,300.5,13,2446,4110,1513,2673,1828,342,21,14,2,5,1,11,0,7,0
Marcel  Wüst,Germany,321,300.3,13,1154,144,62,5480,155,668,65,62,0,3,1,12,0,6,0
Leonardo  Piepoli,Italy,322,298.5,15,1273,4664,602,2224,3086,273,29,16,6,7,0,23,0,7,0
Jacques  Esclassan,France,323,298.4,8,1019,710,154,5764,704,1100,35,29,2,4,0,8,0,5,0
Paolo  Savoldelli,Italy,324,298.1,15,516,3873,3560,1169,1586,600,20,14,5,1,6,19,2,14,0
Wim van Est,Netherlands,325,297.5,16,2741,2530,2600,4740,450,542,29,19,3,7,9,15,0,21,1
Octave  Lapize,France,326,297.3,6,2009,500,0,1566,816,0,18,6,1,11,0,6,1,7,3
Juan  Fernández,Spain,327,296.6,11,2310,1326,409,4336,494,572,41,31,2,8,1,18,0,5,0
Luigi  Ganna,Italy,328,295.7,10,3099,1421,0,2277,558,0,15,8,1,6,0,8,1,17,1
Dario  Frigo,Italy,329,295.8,12,2083,2933,2798,1700,1792,464,20,11,5,4,5,14,0,12,0
Davide  Cassani,Italy,330,295.5,14,6131,803,165,3073,893,469,20,6,1,13,1,20,0,16,0
Raphaël  Géminiani,France,331,295.4,12,1532,3908,942,3002,2496,924,15,10,0,5,0,20,0,16,0
Vicente  López,Spain,332,295.3,14,1285,5364,1339,2450,1812,314,30,17,6,7,3,24,0,4,0
José María  Jiménez,Spain,333,295.2,10,849,2727,649,1051,2411,352,23,16,3,4,2,12,0,4,0
Vito  Taccone,Italy,334,293.7,10,2499,2066,230,4018,378,226,21,14,1,6,1,11,0,11,1
Matej  Mohorič,Slovenia,335,293.3,12,2855,2061,334,694,1534,2656,25,15,4,6,1,13,0,27,1
Fritz  Schär,Switzerland,336,292.7,10,1889,2682,1330,3600,577,391,17,10,0,7,1,11,0,7,0
Ottavio  Bottecchia,Italy,337,292.8,5,801,1770,0,2077,1078,0,14,10,2,2,0,5,2,5,0
Daniel  Moreno,Spain,338,292.6,16,2715,4395,490,1872,4437,1906,22,17,2,3,1,19,0,16,0
Angelo  Conterno,Italy,339,291.5,16,5103,1619,96,3830,891,72,15,5,1,9,0,13,1,34,0
Nicola  Minali,Italy,340,290.9,11,1116,122,46,4220,45,843,43,40,0,3,0,11,0,8,0
Giorgio  Furlan,Italy,341,290.9,11,3128,1746,346,2409,428,24,22,13,3,6,0,13,0,18,1
Franco  Chioccioli,Italy,342,289.9,13,1727,3033,1071,3226,452,50,26,18,3,5,2,15,1,11,0
Franco  Ballerini,Italy,343,289.3,16,6342,587,434,2750,390,80,14,2,1,11,0,9,0,53,2
Alberto  Fernández,Spain,344,289.2,8,492,4368,2686,1848,620,121,28,18,7,3,6,11,0,3,0
Fernando  Escartín,Spain,345,288.7,13,1176,6620,1710,1791,3690,559,18,12,3,3,0,20,0,7,0
Bert  Oosterbosch,Netherlands,346,288.7,10,743,1286,4974,1061,126,225,38,31,6,1,25,5,0,6,0
Giorgio  Albani,Italy,347,288.4,11,3626,1017,232,3872,640,35,22,9,0,13,0,10,0,21,0
Evgeni  Berzin,Russia,348,287.1,8,1069,3048,3737,1143,621,222,19,13,3,3,9,11,1,14,1
Willy  Teirlinck,Belgium,349,286.8,18,4211,1103,549,5305,524,1149,34,24,2,8,1,11,0,14,0
Filippo  Ganna,Italy,350,285.1,10,579,731,5366,302,273,816,33,24,2,7,26,6,0,14,0
Pierino  Baffi,Italy,351,284.7,13,2442,882,111,4936,174,148,29,20,0,9,0,20,0,20,0
Tejay van Garderen,United States,352,283.0,15,147,5164,3409,431,3011,1127,16,13,3,0,7,17,0,6,0
Franco  Balmamion,Italy,353,282.6,12,2223,3718,1170,2132,674,244,11,2,4,5,1,16,2,14,0
Christophe  Moreau,France,354,282.4,17,966,5093,4920,2010,2417,603,21,13,5,3,7,15,0,17,0
Maurice  Archambaud,France,355,282.6,10,799,2014,1692,2941,100,0,24,16,4,4,6,8,0,4,0
Rafał  Majka,Poland,356,282.0,15,1167,5519,889,107,6249,1874,15,12,2,1,0,22,0,17,0
Alfonso  Gutiérrez,Spain,357,282.0,12,858,645,0,4488,370,778,64,56,4,4,0,11,0,2,0
Massimo  Ghirotto,Italy,358,281.8,12,2737,635,357,2062,995,732,20,8,1,11,2,18,0,14,0
René  Vietto,France,359,280.7,18,1320,2665,862,3086,776,183,21,12,3,6,0,10,0,6,0
Kim  Andersen,Denmark,360,280.6,13,2732,2096,1317,3506,497,596,33,20,4,9,1,9,0,11,0
Gösta  Pettersson,Sweden,361,280.4,13,1559,3210,3328,1224,648,31,17,5,2,10,11,7,1,7,0
Rolf  Wolfshohl,Germany,362,280.1,13,2190,3150,1726,3400,1065,700,15,9,4,2,0,14,1,19,0
Pierrick  Fédrigo,France,363,279.1,18,2367,2713,373,2288,844,434,25,15,4,6,0,13,0,18,0
Guido  Carlesi,Italy,364,278.5,11,1844,2210,1392,4038,545,220,23,19,0,4,1,14,0,12,0
Mauro  Gianetti,Switzerland,365,278.4,18,6045,1927,427,2183,1464,278,18,5,1,12,1,11,0,44,1
Robert  Gesink,Netherlands,366,277.6,20,2888,5189,1196,658,4248,1400,13,7,2,4,1,23,0,18,0
Stefano  Zanini,Italy,367,277.2,19,3958,546,263,3920,340,294,28,19,0,9,0,20,0,44,0
René  Privat,France,368,277.0,11,1970,2036,322,3050,197,16,24,13,2,9,0,8,0,9,1
Giovanni  Lombardi,Italy,369,276.4,14,1452,512,76,5940,165,1019,37,36,0,1,0,21,0,16,0
Émile  Daems,Belgium,370,275.9,8,3399,471,248,3491,294,382,22,9,1,12,0,6,0,17,3
Daniele  Nardello,Italy,371,275.1,16,4185,2409,1699,2321,1420,496,24,11,3,10,1,18,0,33,0
Rolf  Graf,Switzerland,372,274.7,11,987,1116,2204,1958,115,275,27,15,1,11,9,10,0,5,0
Félix  Sellier,Belgium,373,274.3,10,2579,1450,0,3076,892,0,17,7,2,8,0,7,0,14,1
Raymond  Delisle,France,374,273.9,15,2350,4564,2064,2731,1966,203,22,12,2,8,4,15,0,12,0
Carlos  Sastre,Spain,375,273.8,15,771,5475,2423,616,4486,772,9,7,1,1,0,26,1,12,0
Tommy  Prim,Sweden,376,273.5,11,1658,3119,2537,2401,225,0,23,12,6,5,7,6,0,11,0
Hans  Junkermann,Germany,377,272.6,18,2902,4662,1211,3438,1476,596,13,5,2,6,1,14,0,8,0
Mirko  Celestino,Italy,378,271.7,13,5900,796,159,2170,802,202,13,3,2,8,0,6,0,35,1
Serhiy  Honchar,Ukraine,379,271.6,17,1007,2669,6659,704,1072,479,24,13,1,10,21,16,0,8,0
Mathieu  Hermans,Netherlands,380,271.2,11,1170,539,76,4223,548,963,45,40,0,5,0,14,0,6,0
Wilfried  Nelissen,Belgium,381,271.2,7,1728,307,206,4284,122,245,52,40,2,10,1,4,0,5,0
Marc  Madiot,France,382,271.0,16,4297,2519,337,3028,903,277,20,8,1,11,0,11,0,30,2
Jesús  Loroño,Spain,383,270.6,17,1032,3593,1932,3094,374,233,17,9,4,4,4,19,1,0,0
Stefan  Schumacher,Germany,384,270.1,16,1293,2283,2943,1705,490,548,30,20,8,2,11,5,0,8,0
Francisco  Galdos,Spain,385,268.9,13,800,6248,2311,1889,2330,239,13,6,4,3,0,21,0,3,0
José Luis  Laguía,Spain,386,268.6,14,618,3235,912,3928,390,186,22,15,4,3,2,19,0,1,0
Alessandro  Ballan,Italy,387,268.0,11,3664,1611,377,1732,554,908,12,5,2,5,0,9,0,32,1
Allan  Davis,Australia,388,267.7,15,2677,1201,47,5546,248,928,26,20,1,5,0,7,0,24,0
Olimpio  Bizzi,Italy,389,267.3,14,2874,275,364,3432,388,0,22,14,0,8,0,11,0,24,0
Stefan  Küng,Switzerland,390,267.2,12,2679,1634,5240,577,464,1506,28,13,2,13,20,11,0,21,0
Edwig Van Hooydonck,Belgium,391,267.1,11,4357,1038,1414,2666,64,120,22,7,1,14,4,8,0,29,2
Miguel  Gual,Spain,392,267.0,12,697,1371,484,4184,0,0,33,26,2,5,2,7,0,0,0
Roman  Kreuziger,Czech Republic,393,266.7,17,2381,5077,2171,437,4204,1572,15,7,3,5,2,18,0,24,0
Johan  Capiot,Belgium,394,266.4,14,5142,275,80,6066,10,382,24,10,0,14,0,9,0,23,0
Jean-Pierre  Danguillaume,France,395,266.3,11,1752,2421,1440,2908,1361,783,28,21,3,4,1,12,0,8,0
Samuel  Dumoulin,France,396,265.1,19,3742,1279,91,5437,272,1494,30,17,2,11,0,13,0,10,0
Steven de Jongh,Netherlands,397,264.5,16,3769,861,60,5566,35,290,30,12,1,17,0,11,0,28,0
Faustino  Rupérez,Spain,398,264.2,8,1346,4180,934,2131,394,33,21,11,5,5,1,13,1,6,0
Luciano  Maggini,Italy,399,264.3,13,4051,545,18,3544,366,75,20,8,0,12,0,8,0,20,0
Yves  Lampaert,Belgium,400,264.0,13,3444,1439,2447,1678,183,1170,16,7,2,7,6,7,0,22,0
Gaston  Rebry,Belgium,401,263.5,14,2974,1343,62,3506,371,0,12,4,1,7,0,8,0,15,4
Willy  Vannitsen,Belgium,402,263.1,13,3180,216,92,3138,141,162,29,15,0,14,0,9,0,16,0
Jean-René  Bernaudeau,France,403,263.0,12,1505,3676,1336,2804,1670,631,17,8,5,4,1,16,0,6,0
Pino  Cerami,Belgium,404,262.5,16,5069,1267,88,3330,758,51,17,8,1,8,0,7,0,36,1
Luca  Paolini,Italy,405,262.4,17,5778,666,77,4410,635,910,17,7,0,10,0,13,0,40,0
Danilo  Hondo,Germany,406,261.4,17,2592,1117,748,6513,450,879,42,38,0,4,2,16,0,27,0
Laudelino  Cubino,Spain,407,261.3,11,728,3222,874,1544,1962,423,27,19,4,4,0,17,0,2,0
Désiré  Keteleer,Belgium,408,259.9,19,3494,1678,282,4106,356,131,25,20,1,4,0,10,0,36,0
Bjarne  Riis,Denmark,409,259.4,15,2248,2393,2239,1530,2068,931,17,8,2,7,2,18,1,17,0
Oscar  Camenzind,Switzerland,410,258.9,11,3226,2440,1686,2045,1387,599,16,9,2,5,3,10,0,20,2
Iban  Mayo,Spain,411,258.8,8,678,2515,1190,872,1350,232,23,14,6,3,4,11,0,4,0
Raúl  Alcalá,Mexico,412,258.6,11,1493,3851,3187,1554,1608,877,23,17,4,2,9,13,0,17,0
Joseph  Bruyère,Belgium,413,258.0,12,2654,1878,3661,1781,688,438,17,7,3,7,4,11,0,12,2
Maurice  Garin,France,414,257.7,4,2292,500,0,1547,538,0,19,3,1,15,0,2,1,5,2
Noël  Foré,Belgium,415,257.7,13,4148,641,50,3151,103,80,18,6,3,9,0,4,0,21,2
Joseph  Groussard,France,416,256.6,14,2748,1557,194,3892,114,392,20,9,2,9,0,9,0,21,1
Salvador  Botella,Spain,417,256.2,13,428,2786,732,4170,87,96,25,19,5,1,1,19,0,3,0
Álvaro  Pino,Spain,418,256.2,11,599,4642,2164,1170,1884,176,17,12,3,2,4,17,1,0,0
Joseph  Schils,Belgium,419,255.7,15,4571,370,120,4458,244,35,32,10,0,22,0,3,0,20,0
Ernest  Sterckx,Belgium,420,254.7,15,3980,204,60,3046,118,0,25,5,1,19,1,0,0,11,0
Sacha  Modolo,Italy,421,253.7,17,1809,535,19,5153,221,1454,47,39,1,7,0,13,0,19,0
Fernando  Manzaneque,Spain,422,253.3,14,586,5031,1103,3669,1050,241,23,18,3,2,0,20,0,4,0
Wout  Poels,Netherlands,423,252.9,18,1033,4876,916,301,4817,1721,24,21,2,1,2,23,0,18,1
Benoît  Cosnefroy,France,424,252.1,10,3641,964,252,346,928,1670,20,4,3,13,1,5,0,12,0
Baden  Cooke,Australia,425,250.8,14,2582,995,305,6257,175,861,38,28,2,8,0,9,0,25,0
Tyler  Hamilton,United States,426,250.3,11,643,3097,4396,596,878,386,16,9,5,2,5,11,0,10,1
Cândido  Barbosa,Portugal,427,250.4,17,124,1648,884,4148,214,34,68,61,5,2,2,2,0,2,0
Alberto  Elli,Italy,428,250.3,17,3681,3090,1015,2534,1230,212,19,10,5,4,1,17,0,26,0
Marc  Hirschi,Switzerland,429,250.2,8,3662,1357,284,90,1778,1834,17,4,3,10,0,3,0,13,0
Zdeněk  Štybar,Czech Republic,430,249.7,18,3789,1449,235,1787,629,1983,18,11,1,6,0,9,0,32,0
Romāns  Vainšteins,Latvia,431,248.4,11,3657,795,462,3126,220,536,22,12,2,8,0,4,0,20,0
Francisco  Mancebo,Spain,432,248.3,26,1768,5836,1915,2568,3197,910,16,8,4,4,0,12,0,13,0
Daryl  Impey,South Africa,433,248.2,19,1745,1891,1031,1486,1122,2818,30,13,5,12,9,11,0,25,0
Chris  Horner,United States,434,247.8,21,1427,4131,1093,1492,2116,572,14,8,5,1,1,12,1,15,0
Leon Van Daele,Belgium,435,247.8,11,3919,166,72,3468,6,0,25,8,1,16,0,1,0,19,1
Aldo  Moser,Italy,436,247.3,21,3504,2757,903,3200,556,60,9,2,0,7,3,21,0,25,0
Kim  Kirchen,Luxembourg,437,247.2,13,1840,2538,1426,1831,1164,670,23,11,2,10,4,7,0,21,0
Eugène  Christophe,France,438,246.8,19,3028,2087,0,2596,1808,0,10,3,0,7,0,11,0,15,1
Henk  Lubberding,Netherlands,439,246.5,18,2722,3466,1933,1878,1068,732,18,14,1,3,3,18,0,30,0
Gilbert  Bauvin,France,440,246.4,11,1214,2123,874,3446,1074,544,20,13,1,6,1,13,0,9,0
Armand de Las Cuevas,France,441,246.3,12,1078,1969,2503,1120,458,164,22,8,5,9,4,12,0,4,0
Stefan van Dijk,Netherlands,442,245.8,16,4524,209,106,7528,22,5,28,15,0,13,1,1,0,7,0
Steve  Bauer,Canada,443,245.5,16,3663,2000,2040,3640,773,838,26,19,1,6,1,15,0,30,0
Dalmacio  Langarica,Spain,444,245.4,12,581,1457,430,3066,88,98,29,24,1,4,1,8,1,1,0
Giovanni  Valetti,Italy,445,245.0,10,413,1903,828,1718,96,0,14,10,4,0,3,6,2,7,0
Adriano  Durante,Italy,446,244.1,11,3574,361,8,3574,402,346,19,9,0,10,0,12,0,19,0
Giuseppe  Minardi,Italy,447,243.8,9,3331,220,54,2001,463,60,17,7,0,10,1,9,0,20,1
Jimmy  Casper,France,448,243.8,15,1984,855,189,5196,27,330,47,33,3,11,0,10,0,17,0
Santiago  Botero,Colombia,449,241.8,15,427,2385,3086,628,1114,624,18,12,1,5,9,13,0,2,0
Óscar  Sevilla,Spain,450,241.2,25,779,5240,2442,2454,2244,1076,17,8,6,3,0,13,0,5,0
Noël  Dejonckheere,Belgium,451,240.3,11,882,107,134,4862,78,101,59,54,0,5,1,8,0,7,0
Antonio  Bevilacqua,Italy,452,239.6,12,2075,277,346,2404,340,85,18,11,0,7,3,11,0,11,1
David  Moncoutié,France,453,238.7,17,1199,3562,1125,1769,1932,356,20,16,3,1,1,17,0,9,0
Émile  Georget,France,454,238.3,10,1712,1556,0,1272,2228,0,13,9,0,4,0,9,0,10,0
Piotr  Ugrumov,Latvia,455,237.7,18,1523,3961,2492,1966,1248,276,12,5,4,3,3,17,0,5,0
Félicien  Vervaecke,Belgium,456,237.7,10,1016,1586,2114,3036,255,0,13,12,0,1,3,8,0,9,0
Mario  Beccia,Italy,457,237.0,11,3038,2585,1114,2660,682,141,13,7,1,5,0,12,0,12,0
Eloi  Meulenberg,Belgium,458,236.4,9,1686,58,156,2444,122,0,17,11,0,6,0,4,0,5,1
José  Recio,Spain,459,236.3,9,515,2030,2360,1604,425,388,32,25,6,1,9,12,0,0,0
Bernard  Gauthier,France,460,235.5,15,3480,1094,306,2940,503,461,19,7,2,10,0,10,0,24,0
Roy  Schuiten,Netherlands,461,235.4,11,555,865,3671,830,14,0,24,12,4,8,15,8,0,4,0
Daniel  Gisiger,Switzerland,462,234.8,14,885,895,3081,1254,12,80,16,7,1,8,9,9,0,3,0
Daniel Van Ryckeghem,Belgium,463,234.6,8,3727,436,120,4876,486,539,23,13,0,10,0,3,0,15,0
Alfons  Schepers,Belgium,464,234.3,8,2369,690,0,2392,240,0,15,7,1,7,0,6,0,11,4
Didier  Rous,France,465,233.2,16,1837,2668,1875,2004,670,96,25,11,4,10,4,17,0,11,0
Antonio  Suárez,Spain,466,233.0,10,723,2617,1752,2976,233,134,20,15,2,3,5,17,1,6,0
Willy  Planckaert,Belgium,467,231.6,18,3163,540,77,4993,231,290,25,16,1,8,0,8,0,15,0
Arthur  Decabooter,Belgium,468,231.1,12,3899,467,116,4451,24,169,20,7,0,13,0,7,0,21,1
Seamus  Elliott,Ireland,469,230.5,12,2705,1372,168,3704,150,204,21,10,2,9,0,11,0,17,0
Giancarlo  Polidori,Italy,470,230.2,11,3556,1100,234,3610,386,218,18,9,0,9,0,14,0,12,0
Georges  Passerieu,France,471,229.5,8,1375,1020,0,738,1516,0,10,7,0,3,0,6,0,9,1
Wout  Wagtmans,Netherlands,472,228.3,11,1177,2166,552,3016,550,608,18,15,2,1,0,15,0,9,0
Antonin  Rolland,France,473,227.7,14,2114,2820,478,3308,786,502,18,8,2,8,0,13,0,20,0
Arnaud De Lie,Belgium,474,227.5,4,3404,120,1,1337,66,1228,23,4,0,19,0,1,0,2,0
Rino  Benedetti,Italy,475,227.4,13,2436,617,68,5392,231,95,17,10,0,7,0,15,0,17,0
Fabian  Jeker,Switzerland,476,227.2,16,1300,3292,1554,1650,718,206,21,13,8,0,6,16,0,15,0
Joseba  Beloki,Spain,477,226.8,10,152,3079,2382,691,1662,419,14,9,5,0,4,11,0,3,0
Andrea  Ferrigato,Italy,478,226.7,15,4132,524,52,3300,432,685,16,5,1,10,0,12,0,15,0
Carlos  Echeverría,Spain,479,226.4,11,1089,2838,1216,3117,179,140,20,9,5,6,1,14,0,6,0
Ferdi Van Den Haute,Belgium,480,225.9,13,3647,1278,1237,4220,161,126,20,14,0,6,1,7,0,24,0
Andy  Schleck,Luxembourg,481,225.8,11,1486,2639,397,453,2366,442,11,6,1,4,2,9,1,14,1
Jos  Huysmans,Belgium,482,225.9,15,4412,2145,395,3920,1313,825,13,7,1,5,0,16,0,26,0
Bruno  Monti,Italy,483,225.7,9,2731,1825,134,4474,498,55,15,11,2,2,0,9,0,15,0
Lucien  Teisseire,France,484,225.5,14,1604,1810,266,2054,636,734,16,10,2,4,0,9,0,10,0
João  Almeida,Portugal,485,225.6,8,421,3854,2308,127,3656,980,13,8,2,3,3,7,0,5,0
